GianFederico PRE_FIRST_COURSE_HEALTINESS:4
GianFederico POST_FIRST_COURSE_HEALTINESS:4
GianFederico PRE_SECOND_COURSE_HEALTINESS:2
GianFederico POST_SECOND_COURSE_HEALTINESS:3
GianFederico PRE_DESSERT_HEALTINESS:2
GianFederico POST_DESSERT_HEALTINESS:1
GianFederico PRE_FIRST_COURSE_SUSTAINABILITY:2
GianFederico POST_FIRST_COURSE_SUSTAINABILITY:3
GianFederico PRE_SECOND_COURSE_SUSTAINABILITY:4
GianFederico POST_SECOND_COURSE_SUSTAINABILITY:4
GianFederico PRE_DESSERT_SUSTAINABILITY:3
GianFederico POST_DESSERT_SUSTAINABILITY:3
GianFederico 🐾 PRE_FIRST_COURSE_HEALTINESS:3
GianFederico 🐾 POST_FIRST_COURSE_HEALTINESS:4
GianFederico 🐾 PRE_SECOND_COURSE_HEALTINESS:4
GianFederico 🐾 POST_SECOND_COURSE_HEALTINESS:3
GianFederico 🐾 PRE_DESSERT_HEALTINESS:4
GianFederico 🐾 POST_DESSERT_HEALTINESS:3
GianFederico 🐾 PRE_FIRST_COURSE_SUSTAINABILITY:2
GianFederico 🐾 POST_FIRST_COURSE_SUSTAINABILITY:3
GianFederico 🐾 PRE_SECOND_COURSE_SUSTAINABILITY:4
GianFederico 🐾 POST_SECOND_COURSE_SUSTAINABILITY:4
GianFederico 🐾 PRE_DESSERT_SUSTAINABILITY:4
GianFederico 🐾 POST_DESSERT_SUSTAINABILITY:4
Sara 🌷🐾 PRE_FIRST_COURSE_HEALTINESS:5
Sara 🌷🐾 POST_FIRST_COURSE_HEALTINESS:4
Sara 🌷🐾 PRE_SECOND_COURSE_HEALTINESS:2
Sara 🌷🐾 POST_SECOND_COURSE_HEALTINESS:2
Sara 🌷🐾 PRE_DESSERT_HEALTINESS:3
Sara 🌷🐾 POST_DESSERT_HEALTINESS:3
Sara 🌷🐾 PRE_FIRST_COURSE_SUSTAINABILITY:3
Sara 🌷🐾 POST_FIRST_COURSE_SUSTAINABILITY:4
Sara 🌷🐾 PRE_SECOND_COURSE_SUSTAINABILITY:2
Sara 🌷🐾 POST_SECOND_COURSE_SUSTAINABILITY:2
Sara 🌷🐾 PRE_DESSERT_SUSTAINABILITY:4
Sara 🌷🐾 POST_DESSERT_SUSTAINABILITY:4
